recomendacao_conteudo,qtde_ocorr,perc_ocorr
"Divulgar o conteúdo do presente relatório durante a realização de seminários, palestras e atividades afins voltadas aos proprietários, operadores e exploradores de aeronaves.",6,0.48
"Divulgar o conteúdo do presente relatório durante a realização de seminários, palestras e atividades afins voltadas aos proprietários, operadores e exploradores de aeronaves de asas rotativas.",5,0.4
"Divulgar o conteúdo do presente relatório durante a realização de seminários, palestras e atividades afins voltadas aos proprietários, operadores e exploradores de aeronaves agrícolas.",4,0.32
Divulgar o conteúdo deste Relatório Final a todos os Destacamentos de Controle de Espaço Aéreo.,2,0.16
"Tendo em vista os fatos observados e relatados neste relatório, a repetição excessiva no Brasil de ocorrências aeronáuticas envolvendo aeronaves R-22 e R-44 pela não observação dos pilotos, no que diz respeito aos limites operacionais determinados pelo fabricante da aeronave, e claramente expressos nos manuais, recomenda-se intensificar o grau e o nível de avaliação dos pilotos por ocasião de cheque inicial e cheques de rotina.",2,0.16
"Tendo em vista as condições latentes listadas no conteúdo deste relatório, intensificar as ações de fiscalização no operador da aeronave acidentada.",2,0.16
"Que considerem a conveniência de divulgar, via e-mail, aos operadores de suas respectivas jurisdições, os filmetes produzidos pelo SERIPA VI sobre a importância da manutenção para a operação segura da aeronave.",2,0.16
"Divulgar os ensinamentos deste acidente em seminários agrícolas e encontros de segurança de voo, dando ampla divulgação a todos os operadores da aviação agrícola.",2,0.16
"Realizar gestões junto ao Operador com o intuito de verificar a efetividade dos mecanismos de Supervisão Gerencial das atividades aeroagrícolas, particularmente no que diz respeito aos processos de identificação de perigos e gerenciamento dos riscos das operações.",2,0.16
"Divulgar o conteúdo do presente relatório durante a realização de seminários, palestras e atividades afins voltadas aos proprietários, operadores e exploradores de helicópteros.",2,0.16
"Divulgar o conteúdo do presente relatório durante a realização de seminários, palestras e atividades afins voltadas aos proprietários, operadores e exploradores de helicópteros da aviação geral.",2,0.16
"Atuar junto ? Mercaer aviação Agrícola Ltda., a fim de reavaliar a adequabilidade do Sistema de Gerenciamento da Segurança Operacional (SGSO) e o cumprimento do Manual de Gerenciamento de Segurança Operacional (MGSO) adotados por aquele operador, sobretudo no que diz respeito aos mecanismos de superviSão gerencial estabelecidos.",2,0.16
"ATUAR JUNTO AO AEROCLUBE DE CANELA, A FIM DE QUE AQUELE OPERADOR, POR OCASIãO DOS TREINAMENTOS OFERECIDOS A SEUS TRIPULANTES, ENFATIZE AS TéCNICAS DE ARREMETIDA E OS FATORES QUE LEVAM à EXECUçãO DESSE PROCEDIMENTO, SOBRETUDO QUANDO FOR CONSTATADO PELA TRIPULAçãO QUE A AERONAVE ESTá EM UMA SITUAçãO NãO ESTABILIZADA.",2,0.16
"Divulgar os ensinamentos colhidos na presente investigação aos operadores agrícolas das diversas regiões do país, por meio dos eventos voltados para a Segurança de Voo (palestras, seminários e cursos), buscando ressaltar as semelhanças entre os aspectos levantados e a realidade vivenciada pelos diversos operadores.",2,0.16
Verificar junto ao Aeroclube a adequação do setor responsável para tratar do gerenciamento da segurança operacional.,1,0.08
Viabilizar o rápido atendimento aos tripulantes que recorrerem ao serviço médico da empresa.,1,0.08
"Viabilizar estudos e projetos de infraestrutura para a homologação do aeródromo, em conformidade com a legislação vigente.",1,0.08
"Verificar, em conjunto com a EASA e AGUSTA, no programa de instrução da aeronave AW139 recomendado, a necessidade de incluir exercícios que adestrem os tripulantes com relação às forças laterais de inércia de alta intensidade que ocorrem em caso de falha do rotor de cauda em altas velocidades.",1,0.08
